district,date,month,year,visitors
Adilabad,2016-01-01,January,2016,792136.0
Adilabad,2016-02-01,February,2016,937820.0
Adilabad,2016-03-01,March,2016,582946.0
Adilabad,2016-04-01,April,2016,341948.0
Adilabad,2016-05-01,May,2016,252887.0
Adilabad,2016-06-01,June,2016,368237.0
Adilabad,2016-07-01,July,2016,447562.0
Adilabad,2016-08-01,August,2016,614285.0
Adilabad,2016-09-01,September,2016,491279.0
Adilabad,2016-10-01,October,2016,94184.0
Adilabad,2016-11-01,November,2016,99148.0
Adilabad,2016-12-01,December,2016,53125.0
Bhadradri Kothagudem,2016-01-01,January,2016,78825.8
Bhadradri Kothagudem,2016-02-01,February,2016,104526.6
Bhadradri Kothagudem,2016-03-01,March,2016,130227.4
Bhadradri Kothagudem,2016-04-01,April,2016,155928.2
Bhadradri Kothagudem,2016-05-01,May,2016,181629.0
Bhadradri Kothagudem,2016-06-01,June,2016,207329.8
Bhadradri Kothagudem,2016-07-01,July,2016,233030.6
Bhadradri Kothagudem,2016-08-01,August,2016,258731.4
Bhadradri Kothagudem,2016-09-01,September,2016,284432.19999999995
Bhadradri Kothagudem,2016-10-01,October,2016,310133.0
Bhadradri Kothagudem,2016-11-01,November,2016,252127.0
Bhadradri Kothagudem,2016-12-01,December,2016,326770.0
Hyderabad,2016-01-01,January,2016,1122510.0
Hyderabad,2016-02-01,February,2016,778748.0
Hyderabad,2016-03-01,March,2016,1017794.0
Hyderabad,2016-04-01,April,2016,1127738.0
Hyderabad,2016-05-01,May,2016,1287181.0
Hyderabad,2016-06-01,June,2016,12032661.0
Hyderabad,2016-07-01,July,2016,1096754.0
Hyderabad,2016-08-01,August,2016,1061137.0
Hyderabad,2016-09-01,September,2016,832987.0
Hyderabad,2016-10-01,October,2016,901960.0
Hyderabad,2016-11-01,November,2016,909733.0
Hyderabad,2016-12-01,December,2016,1225502.0
Jagtial,2016-01-01,January,2016,1123076.7
Jagtial,2016-02-01,February,2016,1020651.4
Jagtial,2016-03-01,March,2016,918226.1
Jagtial,2016-04-01,April,2016,815800.8
Jagtial,2016-05-01,May,2016,713375.5
Jagtial,2016-06-01,June,2016,610950.2
Jagtial,2016-07-01,July,2016,508524.9
Jagtial,2016-08-01,August,2016,406099.6
Jagtial,2016-09-01,September,2016,303674.29999999993
Jagtial,2016-10-01,October,2016,201249.0
Jagtial,2016-11-01,November,2016,214534.0
Jagtial,2016-12-01,December,2016,207294.0
Jangaon,2016-01-01,January,2016,188041.6
Jangaon,2016-02-01,February,2016,168789.2
Jangaon,2016-03-01,March,2016,149536.8
Jangaon,2016-04-01,April,2016,130284.4
Jangaon,2016-05-01,May,2016,111032.0
Jangaon,2016-06-01,June,2016,91779.59999999999
Jangaon,2016-07-01,July,2016,72527.19999999998
Jangaon,2016-08-01,August,2016,53274.79999999999
Jangaon,2016-09-01,September,2016,34022.399999999994
Jangaon,2016-10-01,October,2016,14770.0
Jangaon,2016-11-01,November,2016,13210.0
Jangaon,2016-12-01,December,2016,12680.0
Jayashankar Bhoopalpally,2016-01-01,January,2016,19048.0
Jayashankar Bhoopalpally,2016-02-01,February,2016,25416.0
Jayashankar Bhoopalpally,2016-03-01,March,2016,31784.0
Jayashankar Bhoopalpally,2016-04-01,April,2016,38152.0
Jayashankar Bhoopalpally,2016-05-01,May,2016,44520.0
Jayashankar Bhoopalpally,2016-06-01,June,2016,50888.0
Jayashankar Bhoopalpally,2016-07-01,July,2016,57256.0
Jayashankar Bhoopalpally,2016-08-01,August,2016,63624.0
Jayashankar Bhoopalpally,2016-09-01,September,2016,69992.0
Jayashankar Bhoopalpally,2016-10-01,October,2016,76360.0
Jayashankar Bhoopalpally,2016-11-01,November,2016,81580.0
Jayashankar Bhoopalpally,2016-12-01,December,2016,85460.0
Jogulamba Gadwal,2016-01-01,January,2016,92203.8
Jogulamba Gadwal,2016-02-01,February,2016,98947.6
Jogulamba Gadwal,2016-03-01,March,2016,105691.4
Jogulamba Gadwal,2016-04-01,April,2016,112435.2
Jogulamba Gadwal,2016-05-01,May,2016,119179.0
Jogulamba Gadwal,2016-06-01,June,2016,125922.8
Jogulamba Gadwal,2016-07-01,July,2016,132666.6
Jogulamba Gadwal,2016-08-01,August,2016,139410.4
Jogulamba Gadwal,2016-09-01,September,2016,146154.2
Jogulamba Gadwal,2016-10-01,October,2016,152898.0
Jogulamba Gadwal,2016-11-01,November,2016,188170.0
Jogulamba Gadwal,2016-12-01,December,2016,182333.0
Kamareddy,2016-01-01,January,2016,164104.4
Kamareddy,2016-02-01,February,2016,145875.8
Kamareddy,2016-03-01,March,2016,127647.20000000001
Kamareddy,2016-04-01,April,2016,109418.6
Kamareddy,2016-05-01,May,2016,91190.0
Kamareddy,2016-06-01,June,2016,72961.40000000001
Kamareddy,2016-07-01,July,2016,54732.80000000002
Kamareddy,2016-08-01,August,2016,36504.20000000001
Kamareddy,2016-09-01,September,2016,18275.600000000006
Kamareddy,2016-10-01,October,2016,47.0
Kamareddy,2016-11-01,November,2016,38.0
Kamareddy,2016-12-01,December,2016,42.0
Karimnagar,2016-01-01,January,2016,1984442.0
Karimnagar,2016-02-01,February,2016,779960.0
Karimnagar,2016-03-01,March,2016,1018399.0
Karimnagar,2016-04-01,April,2016,956959.0
Karimnagar,2016-05-01,May,2016,1095642.0
Karimnagar,2016-06-01,June,2016,914746.0
Karimnagar,2016-07-01,July,2016,401047.0
Karimnagar,2016-08-01,August,2016,1018399.0
Karimnagar,2016-09-01,September,2016,956959.0
Karimnagar,2016-10-01,October,2016,13675.0
Karimnagar,2016-11-01,November,2016,13350.0
Karimnagar,2016-12-01,December,2016,13890.0
Khammam,2016-01-01,January,2016,651827.0
Khammam,2016-02-01,February,2016,407533.0
