district,date,month,year,visitors
Adilabad,2016-01-01,January,2016,2.0
Adilabad,2016-02-01,February,2016,0.0
Adilabad,2016-03-01,March,2016,2.0
Adilabad,2016-04-01,April,2016,0.0
Adilabad,2016-05-01,May,2016,0.0
Adilabad,2016-06-01,June,2016,0.0
Adilabad,2016-07-01,July,2016,4.0
Adilabad,2016-08-01,August,2016,2.0
Adilabad,2016-09-01,September,2016,0.0
Adilabad,2016-10-01,October,2016,0.0
Adilabad,2016-11-01,November,2016,0.0
Adilabad,2016-12-01,December,2016,0.0
Bhadradri Kothagudem,2016-01-01,January,2016,0.0
Bhadradri Kothagudem,2016-02-01,February,2016,0.0
Bhadradri Kothagudem,2016-03-01,March,2016,0.0
Bhadradri Kothagudem,2016-04-01,April,2016,0.0
Bhadradri Kothagudem,2016-05-01,May,2016,0.0
Bhadradri Kothagudem,2016-06-01,June,2016,0.0
Bhadradri Kothagudem,2016-07-01,July,2016,0.0
Bhadradri Kothagudem,2016-08-01,August,2016,0.0
Bhadradri Kothagudem,2016-09-01,September,2016,0.0
Bhadradri Kothagudem,2016-10-01,October,2016,0.0
Bhadradri Kothagudem,2016-11-01,November,2016,0.0
Bhadradri Kothagudem,2016-12-01,December,2016,0.0
Hyderabad,2016-01-01,January,2016,15865.0
Hyderabad,2016-02-01,February,2016,29646.0
Hyderabad,2016-03-01,March,2016,13019.0
Hyderabad,2016-04-01,April,2016,8402.0
Hyderabad,2016-05-01,May,2016,8522.0
Hyderabad,2016-06-01,June,2016,10284.0
Hyderabad,2016-07-01,July,2016,17142.0
Hyderabad,2016-08-01,August,2016,12842.0
Hyderabad,2016-09-01,September,2016,9397.0
Hyderabad,2016-10-01,October,2016,12808.0
Hyderabad,2016-11-01,November,2016,8084.0
Hyderabad,2016-12-01,December,2016,17620.0
Jagtial,2016-01-01,January,2016,15858.0
Jagtial,2016-02-01,February,2016,14096.0
Jagtial,2016-03-01,March,2016,12334.0
Jagtial,2016-04-01,April,2016,10572.0
Jagtial,2016-05-01,May,2016,8810.0
Jagtial,2016-06-01,June,2016,7048.0
Jagtial,2016-07-01,July,2016,5286.0
Jagtial,2016-08-01,August,2016,3524.0
Jagtial,2016-09-01,September,2016,1762.0
Jagtial,2016-10-01,October,2016,0.0
Jagtial,2016-11-01,November,2016,0.0
Jagtial,2016-12-01,December,2016,0.0
Jangaon,2016-01-01,January,2016,0.0
Jangaon,2016-02-01,February,2016,0.0
Jangaon,2016-03-01,March,2016,0.0
Jangaon,2016-04-01,April,2016,0.0
Jangaon,2016-05-01,May,2016,0.0
Jangaon,2016-06-01,June,2016,0.0
Jangaon,2016-07-01,July,2016,0.0
Jangaon,2016-08-01,August,2016,0.0
Jangaon,2016-09-01,September,2016,0.0
Jangaon,2016-10-01,October,2016,0.0
Jangaon,2016-11-01,November,2016,2.0
Jangaon,2016-12-01,December,2016,0.0
Jayashankar Bhoopalpally,2016-01-01,January,2016,2.4
Jayashankar Bhoopalpally,2016-02-01,February,2016,4.8
Jayashankar Bhoopalpally,2016-03-01,March,2016,7.199999999999999
Jayashankar Bhoopalpally,2016-04-01,April,2016,9.6
Jayashankar Bhoopalpally,2016-05-01,May,2016,12.0
Jayashankar Bhoopalpally,2016-06-01,June,2016,14.399999999999999
Jayashankar Bhoopalpally,2016-07-01,July,2016,16.8
Jayashankar Bhoopalpally,2016-08-01,August,2016,19.2
Jayashankar Bhoopalpally,2016-09-01,September,2016,21.599999999999998
Jayashankar Bhoopalpally,2016-10-01,October,2016,24.0
Jayashankar Bhoopalpally,2016-11-01,November,2016,22.0
Jayashankar Bhoopalpally,2016-12-01,December,2016,40.0
Jogulamba Gadwal,2016-01-01,January,2016,37.3
Jogulamba Gadwal,2016-02-01,February,2016,34.6
Jogulamba Gadwal,2016-03-01,March,2016,31.9
Jogulamba Gadwal,2016-04-01,April,2016,29.2
Jogulamba Gadwal,2016-05-01,May,2016,26.5
Jogulamba Gadwal,2016-06-01,June,2016,23.799999999999997
Jogulamba Gadwal,2016-07-01,July,2016,21.099999999999998
Jogulamba Gadwal,2016-08-01,August,2016,18.4
Jogulamba Gadwal,2016-09-01,September,2016,15.7
Jogulamba Gadwal,2016-10-01,October,2016,13.0
Jogulamba Gadwal,2016-11-01,November,2016,21.0
Jogulamba Gadwal,2016-12-01,December,2016,11.0
Kamareddy,2016-01-01,January,2016,9.9
Kamareddy,2016-02-01,February,2016,8.8
Kamareddy,2016-03-01,March,2016,7.699999999999999
Kamareddy,2016-04-01,April,2016,6.6
Kamareddy,2016-05-01,May,2016,5.5
Kamareddy,2016-06-01,June,2016,4.3999999999999995
Kamareddy,2016-07-01,July,2016,3.299999999999999
Kamareddy,2016-08-01,August,2016,2.1999999999999993
Kamareddy,2016-09-01,September,2016,1.0999999999999996
Kamareddy,2016-10-01,October,2016,0.0
Kamareddy,2016-11-01,November,2016,0.0
Kamareddy,2016-12-01,December,2016,0.0
Karimnagar,2016-01-01,January,2016,0.0
Karimnagar,2016-02-01,February,2016,0.0
Karimnagar,2016-03-01,March,2016,0.0
Karimnagar,2016-04-01,April,2016,0.0
Karimnagar,2016-05-01,May,2016,0.0
Karimnagar,2016-06-01,June,2016,0.0
Karimnagar,2016-07-01,July,2016,0.0
Karimnagar,2016-08-01,August,2016,0.0
Karimnagar,2016-09-01,September,2016,0.0
Karimnagar,2016-10-01,October,2016,0.0
Karimnagar,2016-11-01,November,2016,0.0
Karimnagar,2016-12-01,December,2016,0.0
Khammam,2016-01-01,January,2016,0.0
Khammam,2016-02-01,February,2016,0.0
Khammam,2016-03-01,March,2016,0.0
Khammam,2016-04-01,April,2016,0.0
Khammam,2016-05-01,May,2016,0.0
Khammam,2016-06-01,June,2016,0.0
Khammam,2016-07-01,July,2016,0.0
Khammam,2016-08-01,August,2016,0.0
Khammam,2016-09-01,September,2016,0.0
Khammam,2016-10-01,October,2016,0.0
Khammam,2016-11-01,November,2016,0.0
Khammam,2016-12-01,December,2016,0.0
Komaram Bheem Asifabad,2016-01-01,January,2016,0.0
Komaram Bheem Asifabad,2016-02-01,February,2016,0.0
Komaram Bheem Asifabad,2016-03-01,March,2016,0.0
Komaram Bheem Asifabad,2016-04-01,April,2016,0.0
Komaram Bheem Asifabad,2016-05-01,May,2016,0.0
Komaram Bheem Asifabad,2016-06-01,June,2016,0.0
Komaram Bheem Asifabad,2016-07-01,July,2016,0.0
Komaram Bheem Asifabad,2016-08-01,August,2016,0.0
Komaram Bheem Asifabad,2016-09-01,September,2016,0.0
Komaram Bheem Asifabad,2016-10-01,October,2016,0.0
Komaram Bheem Asifabad,2016-11-01,November,2016,0.0
Komaram Bheem Asifabad,2016-12-01,December,2016,0.0
Mahabubabad,2016-01-01,January,2016,0.0
Mahabubabad,2016-02-01,February,2016,0.0
Mahabubabad,2016-03-01,March,2016,0.0
Mahabubabad,2016-04-01,April,2016,0.0
Mahabubabad,2016-05-01,May,2016,0.0
Mahabubabad,2016-06-01,June,2016,0.0
Mahabubabad,2016-07-01,July,2016,0.0
Mahabubabad,2016-08-01,August,2016,0.0
Mahabubabad,2016-09-01,September,2016,0.0
Mahabubabad,2016-10-01,October,2016,0.0
Mahabubabad,2016-11-01,November,2016,0.0
Mahabubabad,2016-12-01,December,2016,0.0
Mahbubnagar,2016-01-01,January,2016,123.0
Mahbubnagar,2016-02-01,February,2016,126.0
Mahbubnagar,2016-03-01,March,2016,103.0
Mahbubnagar,2016-04-01,April,2016,75.0
Mahbubnagar,2016-05-01,May,2016,58.0
Mahbubnagar,2016-06-01,June,2016,68.0
Mahbubnagar,2016-07-01,July,2016,63.0
Mahbubnagar,2016-08-01,August,2016,86.0
Mahbubnagar,2016-09-01,September,2016,74.0
Mahbubnagar,2016-10-01,October,2016,37.0
Mahbubnagar,2016-11-01,November,2016,29.0
Mahbubnagar,2016-12-01,December,2016,26.0
Mancherial,2016-01-01,January,2016,23.4
Mancherial,2016-02-01,February,2016,20.8
Mancherial,2016-03-01,March,2016,18.2
Mancherial,2016-04-01,April,2016,15.6
Mancherial,2016-05-01,May,2016,13.0
Mancherial,2016-06-01,June,2016,10.399999999999999
Mancherial,2016-07-01,July,2016,7.800000000000001
Mancherial,2016-08-01,August,2016,5.199999999999999
Mancherial,2016-09-01,September,2016,2.599999999999998
Mancherial,2016-10-01,October,2016,0.0
Mancherial,2016-11-01,November,2016,0.0
Mancherial,2016-12-01,December,2016,0.0
Medak,2016-01-01,January,2016,0.0
Medak,2016-02-01,February,2016,0.0
Medak,2016-03-01,March,2016,0.0
Medak,2016-04-01,April,2016,0.0
Medak,2016-05-01,May,2016,0.0
Medak,2016-06-01,June,2016,0.0
Medak,2016-07-01,July,2016,0.0
Medak,2016-08-01,August,2016,0.0
Medak,2016-09-01,September,2016,0.0
Medak,2016-10-01,October,2016,0.0
Medak,2016-11-01,November,2016,0.0
Medak,2016-12-01,December,2016,0.0
Medchal,2016-01-01,January,2016,0.36363636363636365
Medchal,2016-02-01,February,2016,0.7272727272727273
Medchal,2016-03-01,March,2016,1.0909090909090908
Medchal,2016-04-01,April,2016,1.4545454545454546
Medchal,2016-05-01,May,2016,1.8181818181818183
Medchal,2016-06-01,June,2016,2.1818181818181817
Medchal,2016-07-01,July,2016,2.5454545454545454
Medchal,2016-08-01,August,2016,2.909090909090909
Medchal,2016-09-01,September,2016,3.272727272727273
Medchal,2016-10-01,October,2016,3.6363636363636367
Medchal,2016-11-01,November,2016,4.0
Medchal,2016-12-01,December,2016,4.363636363636363
Nagarkurnool,2016-01-01,January,2016,4.7272727272727275
Nagarkurnool,2016-02-01,February,2016,5.090909090909091
Nagarkurnool,2016-03-01,March,2016,5.454545454545455
Nagarkurnool,2016-04-01,April,2016,5.818181818181818
Nagarkurnool,2016-05-01,May,2016,6.181818181818182
Nagarkurnool,2016-06-01,June,2016,6.545454545454546
Nagarkurnool,2016-07-01,July,2016,6.909090909090909
Nagarkurnool,2016-08-01,August,2016,7.272727272727273
Nagarkurnool,2016-09-01,September,2016,7.636363636363637
Nagarkurnool,2016-10-01,October,2016,8.0
Nagarkurnool,2016-11-01,November,2016,11.0
Nagarkurnool,2016-12-01,December,2016,10.0
Nalgonda,2016-01-01,January,2016,0.0
Nalgonda,2016-02-01,February,2016,0.0
Nalgonda,2016-03-01,March,2016,0.0
Nalgonda,2016-04-01,April,2016,0.0
Nalgonda,2016-05-01,May,2016,0.0
Nalgonda,2016-06-01,June,2016,0.0
Nalgonda,2016-07-01,July,2016,0.0
Nalgonda,2016-08-01,August,2016,0.0
Nalgonda,2016-09-01,September,2016,0.0
Nalgonda,2016-10-01,October,2016,0.0
Nalgonda,2016-11-01,November,2016,0.0
Nalgonda,2016-12-01,December,2016,0.0
Nirmal,2016-01-01,January,2016,0.0
Nirmal,2016-02-01,February,2016,0.0
Nirmal,2016-03-01,March,2016,0.0
Nirmal,2016-04-01,April,2016,0.0
Nirmal,2016-05-01,May,2016,0.0
Nirmal,2016-06-01,June,2016,0.0
Nirmal,2016-07-01,July,2016,0.0
Nirmal,2016-08-01,August,2016,0.0
Nirmal,2016-09-01,September,2016,0.0
Nirmal,2016-10-01,October,2016,0.0
Nirmal,2016-11-01,November,2016,0.0
Nirmal,2016-12-01,December,2016,0.0
Nizamabad,2016-01-01,January,2016,0.0
Nizamabad,2016-02-01,February,2016,0.0
Nizamabad,2016-03-01,March,2016,0.0
Nizamabad,2016-04-01,April,2016,0.0
Nizamabad,2016-05-01,May,2016,0.0
Nizamabad,2016-06-01,June,2016,0.0
Nizamabad,2016-07-01,July,2016,0.0
Nizamabad,2016-08-01,August,2016,0.0
Nizamabad,2016-09-01,September,2016,0.0
Nizamabad,2016-10-01,October,2016,0.0
Nizamabad,2016-11-01,November,2016,0.0
Nizamabad,2016-12-01,December,2016,0.0
Peddapalli,2016-01-01,January,2016,0.0
Peddapalli,2016-02-01,February,2016,0.0
Peddapalli,2016-03-01,March,2016,0.0
Peddapalli,2016-04-01,April,2016,0.0
Peddapalli,2016-05-01,May,2016,0.0
Peddapalli,2016-06-01,June,2016,0.0
Peddapalli,2016-07-01,July,2016,0.0
Peddapalli,2016-08-01,August,2016,0.0
Peddapalli,2016-09-01,September,2016,0.0
Peddapalli,2016-10-01,October,2016,0.0
Peddapalli,2016-11-01,November,2016,0.0
Peddapalli,2016-12-01,December,2016,0.0
Rajanna Sircilla,2016-01-01,January,2016,0.0
Rajanna Sircilla,2016-02-01,February,2016,0.0
Rajanna Sircilla,2016-03-01,March,2016,0.0
Rajanna Sircilla,2016-04-01,April,2016,0.0
Rajanna Sircilla,2016-05-01,May,2016,0.0
Rajanna Sircilla,2016-06-01,June,2016,0.0
Rajanna Sircilla,2016-07-01,July,2016,0.0
Rajanna Sircilla,2016-08-01,August,2016,0.0
Rajanna Sircilla,2016-09-01,September,2016,0.0
Rajanna Sircilla,2016-10-01,October,2016,0.0
Rajanna Sircilla,2016-11-01,November,2016,0.0
Rajanna Sircilla,2016-12-01,December,2016,0.0
Ranga Reddy,2016-01-01,January,2016,0.0
Ranga Reddy,2016-02-01,February,2016,0.0
Ranga Reddy,2016-03-01,March,2016,0.0
Ranga Reddy,2016-04-01,April,2016,0.0
Ranga Reddy,2016-05-01,May,2016,0.0
Ranga Reddy,2016-06-01,June,2016,0.0
Ranga Reddy,2016-07-01,July,2016,0.0
Ranga Reddy,2016-08-01,August,2016,0.0
Ranga Reddy,2016-09-01,September,2016,0.0
Ranga Reddy,2016-10-01,October,2016,0.0
Ranga Reddy,2016-11-01,November,2016,0.0
Ranga Reddy,2016-12-01,December,2016,0.0
Sangareddy,2016-01-01,January,2016,0.0
Sangareddy,2016-02-01,February,2016,0.0
Sangareddy,2016-03-01,March,2016,0.0
Sangareddy,2016-04-01,April,2016,0.0
Sangareddy,2016-05-01,May,2016,0.0
Sangareddy,2016-06-01,June,2016,0.0
Sangareddy,2016-07-01,July,2016,0.0
Sangareddy,2016-08-01,August,2016,0.0
Sangareddy,2016-09-01,September,2016,0.0
Sangareddy,2016-10-01,October,2016,0.0
Sangareddy,2016-11-01,November,2016,0.0
Sangareddy,2016-12-01,December,2016,0.0
Siddipet,2016-01-01,January,2016,0.0
Siddipet,2016-02-01,February,2016,0.0
Siddipet,2016-03-01,March,2016,0.0
Siddipet,2016-04-01,April,2016,0.0
